Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-02-28,525.900024,531.900024,521.140015,522.150024,516.43335,335800,0
2023-03-01,519.219971,522.48999,514.369995,515.450012,509.806641,375500,1
2023-03-02,510.649994,517.289978,508.470001,517.289978,511.626526,387100,2
2023-03-03,521.609985,537.280029,520.530029,536.669983,530.794312,382700,3
2023-03-06,537.950012,545.5,537.859985,542.909973,536.965881,568000,4
2023-03-07,542.919983,547.919983,531.47998,533.97998,528.133789,406600,5
2023-03-08,532.119995,537.820007,527.47998,535.849976,529.983337,254700,6
2023-03-09,537.080017,545.25,532.380005,535.039978,529.182129,499200,7
2023-03-10,535,536.849976,519.109985,522.27002,516.552002,595400,8
2023-03-13,517.799988,534.140015,513.840027,528.280029,522.496155,786300,9
2023-03-14,540.650024,558.280029,540.380005,548.25,542.247559,639000,10
2023-03-15,534.950012,538.349976,520.549988,536.77002,530.89325,506400,11
2023-03-16,533.969971,560.25,533.969971,546.570007,540.585938,456700,12
2023-03-17,547.080017,548.570007,532.51001,537.090027,531.209778,999600,13
2023-03-20,540.48999,545.109985,534.02002,544.330017,538.370483,353300,14
2023-03-21,550.289978,556.359985,549.429993,554.330017,548.260986,470800,15
2023-03-22,552.679993,563.809998,546.650024,547.179993,541.18927,414400,16
2023-03-23,546.309998,555.710022,541.609985,546.960022,540.971741,457500,17
2023-03-24,541.75,545,536.27002,543.099976,537.15387,323300,18
2023-03-27,548.400024,548.400024,538.900024,540.349976,534.434021,413200,19
2023-03-28,540.27002,543.150024,534.719971,542.900024,536.956177,222200,20
2023-03-29,549.549988,552.049988,543.460022,550.929993,544.898193,276400,21
2023-03-30,556.539978,556.539978,545.419983,548.719971,542.712341,328100,22
2023-03-31,553.5,559.789978,550.130005,559.690002,553.562378,347100,23
2023-04-03,553.549988,558.539978,550.01001,557.369995,551.2677,330100,24
2023-04-04,560.219971,563.059998,549.47998,550.380005,544.354309,457000,25
2023-04-05,546.460022,550.98999,536.27002,538.369995,532.475708,318600,26
2023-04-06,534.210022,537.390015,532.359985,533.650024,527.807373,333500,27
2023-04-10,528.320007,529.049988,512.580017,528.440002,522.65448,444000,28
2023-04-11,530.340027,535.369995,525.599976,529.669983,523.870911,391600,29
2023-04-12,535.780029,539.02002,529.73999,530.830017,525.01825,375800,30
2023-04-13,534.159973,543.150024,530.130005,542.609985,536.669312,301500,31
2023-04-14,541.119995,553.039978,538.309998,540.030029,534.117554,538400,32
