Timestamp,watch_spongebob,age,friends,siblings,GPA,is_this_funny
4/4/2024 14:39:08,Yes,18-25,15,yes,2.9,Yes
4/4/2024 14:45:36,Yes,18-25,8,yes,2,Yes
4/4/2024 14:50:06,No,18-25,15,yes,2.3,No
4/4/2024 14:50:52,No,18-25,14,yes,2.8,No
4/4/2024 14:51:11,Yes,25-35,4,yes,3.8,No
4/4/2024 15:00:55,Yes,18-25,5,no,3,Yes
4/4/2024 15:03:42,Yes,18-25,10,yes,3.5,Yes
4/4/2024 15:05:38,Yes,16-18,7,yes,2.9,No
4/4/2024 15:06:01,Yes,18-25,5,yes,3.33,Yes
4/4/2024 15:12:29,Yes,25-35,9,yes,3.8,No
4/4/2024 15:15:31,Yes,18-25,15,yes,2.5,Yes
4/4/2024 15:21:45,Yes,16-18,15,yes,3.9,Yes
4/4/2024 15:24:19,Yes,18-25,15,yes,3.8,No
4/4/2024 15:26:57,Yes,16-18,5,yes,3.2,Yes
4/4/2024 15:27:44,No,16-18,15,yes,3.8,Yes
4/4/2024 15:29:12,Yes,16-18,15,yes,2.9,Yes
4/4/2024 15:45:25,No,16-18,6,yes,3.9,No
4/4/2024 15:49:31,Yes,18-25,0,yes,3.2,Yes
4/4/2024 15:55:06,Yes,18-25,5,no,2,Yes
4/4/2024 16:17:35,Yes,16-18,10,yes,4,No
4/4/2024 16:19:16,Yes,25-35,9,yes,4,Yes
4/4/2024 16:21:37,Yes,18-25,15,yes,4,Yes
4/4/2024 16:43:35,No,25-35,15,yes,3.5,Yes
4/4/2024 16:50:05,Yes,18-25,3,yes,3.9,Yes
4/4/2024 16:53:35,Yes,18-25,12,yes,3.5,Yes
4/4/2024 16:54:43,Yes,25-35,5,yes,3.2,Yes
4/4/2024 17:02:13,Yes,25-35,5,yes,2.15,Yes
4/4/2024 17:14:37,Yes,18-25,3,yes,2.5,Yes
4/4/2024 17:17:39,Yes,18-25,15,yes,3.97,Yes
4/4/2024 17:19:23,Yes,25-35,10,yes,3.4,Yes
4/4/2024 17:27:01,Yes,35,0,yes,3.9,Yes
4/4/2024 17:35:42,No,18-25,7,yes,4,Yes
4/4/2024 17:35:45,Yes,18-25,15,yes,4,No
4/4/2024 17:36:37,No,18-25,5,no,3.5,Yes
4/4/2024 17:54:36,No,35,15,no,3.8,Yes
4/4/2024 17:56:19,No,18-25,1,yes,3.5,No
4/4/2024 18:13:31,Yes,18-25,5,yes,3.98,Yes
4/4/2024 18:16:42,Yes,25-35,2,no,3.9,No
4/4/2024 18:17:39,Yes,18-25,12,no,3,Yes
4/4/2024 18:25:17,Yes,25-35,2,yes,2.7,Yes
4/4/2024 18:28:29,Yes,16-18,12,yes,3.8,Yes
4/4/2024 18:32:29,Yes,18-25,15,yes,2.9,Yes
4/4/2024 18:33:29,Yes,18-25,0,yes,3.7,No
4/4/2024 19:04:46,No,25-35,2,yes,3.45,No
4/4/2024 19:07:36,No,18-25,15,no,3,Yes
4/4/2024 19:08:43,No,18-25,10,yes,3,Yes
4/4/2024 19:15:47,Yes,18-25,5,yes,3.4,Yes
4/4/2024 19:41:45,Yes,18-25,8,yes,3.8,Yes
4/4/2024 19:47:52,Yes,18-25,7,yes,3.93,Yes
4/4/2024 20:06:17,Yes,18-25,10,yes,4,Yes
4/4/2024 20:09:21,Yes,18-25,15,yes,3.2,Yes
4/4/2024 20:39:45,No,16-18,6,yes,4,No
4/4/2024 20:42:18,Yes,35,5,yes,3.4,No
4/4/2024 20:44:00,Yes,18-25,6,yes,3.58,Yes
4/4/2024 20:44:11,No,16-18,10,yes,3.6,Yes
4/4/2024 20:46:51,Yes,18-25,15,no,3.94,Yes
4/4/2024 21:15:44,Yes,18-25,15,yes,3.7,Yes
4/4/2024 21:27:10,Yes,18-25,10,yes,4,Yes
4/4/2024 21:52:29,Yes,25-35,12,yes,3.73,Yes
4/4/2024 22:01:03,Yes,25-35,11,yes,4,No
4/4/2024 22:19:33,Yes,18-25,15,yes,3.7,Yes
4/4/2024 23:23:32,Yes,18-25,2,yes,3.5,Yes
4/4/2024 23:43:41,Yes,25-35,3,yes,3.1,Yes
4/4/2024 23:57:00,Yes,25-35,4,yes,3,Yes
4/5/2024 0:24:57,Yes,18-25,15,yes,3.5,Yes
4/5/2024 1:30:16,No,16-18,0,yes,2.69,No
4/5/2024 2:59:50,Yes,18-25,8,yes,2,No
4/5/2024 7:30:35,Yes,25-35,15,yes,2.5,No
4/5/2024 8:32:24,Yes,18-25,10,yes,3.8,Yes
4/5/2024 8:54:18,Yes,18-25,15,yes,2.9,No
4/5/2024 11:15:35,Yes,25-35,6,yes,3.2,Yes
4/5/2024 11:28:01,Yes,18-25,15,yes,3.82,Yes
4/5/2024 13:51:15,No,18-25,10,yes,3,Yes
4/5/2024 13:58:33,Yes,18-25,15,yes,3.5,Yes
4/5/2024 14:23:16,Yes,18-25,15,yes,3.2,No
4/5/2024 16:34:40,Yes,18-25,12,yes,2.1,Yes
4/5/2024 22:52:23,Yes,18-25,11,yes,3.8,Yes
4/5/2024 22:55:17,Yes,18-25,5,yes,3,Yes
4/5/2024 23:18:00,No,35,10,yes,3.8,No
4/5/2024 23:47:59,Yes,18-25,4,yes,3.2,Yes
4/6/2024 0:35:25,Yes,18-25,10,yes,3.6,Yes
4/6/2024 5:37:50,Yes,18-25,15,yes,3.4,Yes
4/7/2024 16:01:52,Yes,18-25,15,yes,3.9,No
4/7/2024 16:08:42,Yes,25-35,15,yes,3,No
4/7/2024 16:10:56,Yes,18-25,10,yes,3,Yes
4/7/2024 16:11:18,Yes,18-25,10,yes,3.4,Yes
4/7/2024 16:11:30,No,35,15,no,3,Yes
4/7/2024 16:11:37,Yes,25-35,3,yes,3.7,Yes
4/7/2024 16:19:01,No,35,12,yes,3.4,No
4/7/2024 16:28:22,Yes,18-25,8,yes,3.4,Yes
4/7/2024 16:29:00,Yes,18-25,15,yes,3.3,No
4/7/2024 16:31:02,Yes,16-18,4,no,2.9,Yes
4/7/2024 16:35:25,Yes,18-25,10,yes,3.28,Yes
4/7/2024 16:35:28,Yes,18-25,15,no,1.2,Yes
4/7/2024 16:38:51,No,25-35,7,yes,3.9,No
4/7/2024 16:40:35,No,35,10,yes,3.3,Yes
4/7/2024 16:44:14,Yes,18-25,15,yes,3.5,Yes
4/7/2024 16:44:56,Yes,18-25,14,yes,3.2,No
4/7/2024 16:53:33,No,18-25,15,yes,3.7,Yes
4/7/2024 16:56:08,Yes,18-25,3,no,3.1,Yes
4/7/2024 17:00:09,Yes,18-25,5,yes,2.7,Yes
4/7/2024 17:00:31,Yes,16-18,15,yes,3,Yes
4/7/2024 17:33:41,Yes,18-25,5,yes,3.5,Yes
4/7/2024 18:01:56,Yes,16-18,15,yes,3.9,No
